Scientific name;English name;Entry into force
Acridotheres tristis;Common myna;15 August 2019
Alopochen aegyptiacus;Egyptian goose;2 August 2017
Arthurdendyus triangulates;New Zealand flatworm;15 August 2019
Callosciurus erythraeus;Pallas' squirrel;3 August 2016
Corvus splendens;Indian house crow;3 August 2016
Eriocheir sinensis;Chinese mittencrab;3 August 2016
Herpestes javanicus;Small Asian mongoose;3 August 2016
Lepomis gibbosus;Pumpkinseed;15 August 2019
Lithobates catesbeianus;American bullfrog;3 August 2016
Muntiacus reevesi;Muntjac deer;3 August 2016
Myocastor coypus;Coypu;3 August 2016
Nasua nasua;Coati;3 August 2016
Nyctereutes procyonoides;Raccoon dog;2 February 2019
Ondatra zibethicus;Muskrat;2 August 2017
Orconectes limosus ;Spiny-cheek crayfish;3 August 2016
Orconectes virilis ;Virile crayfish;3 August 2016
Oxyura jamaicensis ;Ruddy duck;3 August 2016
Pacifastacus leniusculus ;Signal crayfish;3 August 2016
Percottus glenii;Amur sleeper;3 August 2016
Plotosus lineatus;Striped eel catfish;15 August 2019
Procambarus clarkii ;Red swamp crayfish;3 August 2016
Procambarus fallax f. virginalis;Marbled crayfish;3 August 2016
Procyon lotor;Raccoon;3 August 2016
Pseudorasbora parva;Stone moroko;3 August 2016
Sciurus carolinensis;Grey squirrel;3 August 2016
Sciurus niger;Fox squirrel;3 August 2016
Tamias sibiricus ;Siberian chipmunk;3 August 2016
Threskiornis aethiopicus ;Sacred ibis;3 August 2016
Trachemys scripta;Red-eared, yellow-bellied and Cumberland sliders;3 August 2016
Vespa velutina nigrithorax;Asian hornet;3 August 2016
