"";"SR";"TSR";"RSR";"SWR";"PD";"TPD";"RPD";"PWR";"HEDGE";"LEDGE";"GexpPD";"LexpPD"
"SR";100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"TSR";41,4285714285714;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"RSR";28,9438502673797;41,7112299465241;100;NA;NA;NA;NA;NA;NA;NA;NA;NA
"SWR";35,390625;44,5;67,2459893048128;100;NA;NA;NA;NA;NA;NA;NA;NA
"PD";86,640625;37,3571428571429;26,1363636363636;31,2206572769953;100;NA;NA;NA;NA;NA;NA;NA
"TPD";47,421875;74,0714285714286;33,355614973262;39,7496087636933;44,7574334898279;100;NA;NA;NA;NA;NA;NA
"RPD";31,71875;42,1428571428571;76,2700534759358;67,7621283255086;29,0297339593114;37,7151799687011;100;NA;NA;NA;NA;NA
"PWR";41,5625;51,2857142857143;64,3716577540107;80,2816901408451;36,150234741784;46,0093896713615;67,2926447574335;100;NA;NA;NA;NA
"HEDGE";38,5740402193784;83,1809872029251;43,0834856794637;43,6928702010969;35,4661791590494;65,0822669104205;40,7678244972578;49,5429616087751;100;NA;NA;NA
"LEDGE";78,6585365853659;32,5;24,2647058823529;26,7530487804878;78,0487804878049;42,530487804878;25,9908536585366;31,7835365853659;30,0426569165143;100;NA;NA
"GexpPD";22,421875;51,9285714285714;27,8743315508021;32,2378716744914;25,1956181533646;45,226917057903;31,1424100156495;37,5586854460094;51,7976843388178;12,5;100;NA
"LexpPD";85,390625;34,3571428571429;24,331550802139;28,8732394366197;80,0469483568075;40,4538341158059;26,5258215962441;35,1330203442879;32,5411334552102;84,2987804878049;11,9718309859155;100
